name,owner,createdAt,updatedAt,primaryLanguage,mergedPRs,releases,issues,closedIssues,stars
build-your-own-x,codecrafters-io,2018-05-09T12:03:18Z,2026-03-13T15:46:41Z,Markdown,155,0,0,0,474738
awesome,sindresorhus,2014-07-11T13:42:37Z,2026-03-13T15:46:33Z,None,694,0,0,0,445189
freeCodeCamp,freeCodeCamp,2014-12-24T17:49:19Z,2026-03-13T15:45:45Z,TypeScript,27798,0,0,0,438080
public-apis,public-apis,2016-03-20T23:49:42Z,2026-03-13T15:47:33Z,Python,1872,0,0,0,409047
free-programming-books,EbookFoundation,2013-10-11T06:50:37Z,2026-03-13T15:17:44Z,Python,7337,0,0,0,383944
developer-roadmap,kamranahmedse,2017-03-15T13:45:52Z,2026-03-13T15:46:40Z,TypeScript,4093,1,0,0,350822
system-design-primer,donnemartin,2017-02-26T16:15:28Z,2026-03-13T15:46:22Z,Python,208,0,0,0,338701
coding-interview-university,jwasham,2016-06-06T02:34:12Z,2026-03-13T15:46:06Z,None,415,0,0,0,337783
openclaw,openclaw,2025-11-24T10:16:47Z,2026-03-13T15:47:50Z,TypeScript,3187,66,0,0,310238
awesome-python,vinta,2014-06-27T21:00:06Z,2026-03-13T15:46:04Z,Python,642,0,0,0,286934
awesome-selfhosted,awesome-selfhosted,2015-06-01T02:33:17Z,2026-03-13T15:46:40Z,None,2395,1,0,0,279691
996.ICU,996icu,2019-03-26T07:31:14Z,2026-03-13T15:08:17Z,None,1072,0,0,0,275754
project-based-learning,practical-tutorials,2017-04-12T05:07:46Z,2026-03-13T15:46:03Z,None,182,0,0,0,260865
react,facebook,2013-05-24T16:15:54Z,2026-03-13T15:44:25Z,JavaScript,12784,118,0,0,243893
linux,torvalds,2011-09-04T22:48:12Z,2026-03-13T15:46:02Z,C,0,0,0,0,222535
Python,TheAlgorithms,2016-07-16T09:44:01Z,2026-03-13T15:44:55Z,Python,3069,0,0,0,218564
vue,vuejs,2013-07-29T03:24:51Z,2026-03-13T15:45:09Z,TypeScript,1136,249,0,0,209976
the-book-of-secret-knowledge,trimstray,2018-06-23T10:43:14Z,2026-03-13T15:44:54Z,None,122,0,0,0,209853
computer-science,ossu,2014-05-04T00:18:39Z,2026-03-13T15:46:03Z,HTML,305,0,0,0,202328
javascript-algorithms,trekhleb,2018-03-24T07:47:04Z,2026-03-13T15:44:56Z,JavaScript,304,0,0,0,195750
tensorflow,tensorflow,2015-11-07T01:19:20Z,2026-03-13T15:45:46Z,C++,42657,222,0,0,194125
ohmyzsh,ohmyzsh,2009-08-28T18:15:37Z,2026-03-13T15:46:52Z,Shell,3520,0,0,0,185306
You-Dont-Know-JS,getify,2013-11-16T02:37:24Z,2026-03-13T14:15:26Z,None,370,0,0,0,184500
CS-Notes,CyC2018,2018-02-13T14:56:24Z,2026-03-13T14:35:40Z,None,374,0,0,0,183920
vscode,microsoft,2015-09-03T20:23:38Z,2026-03-13T15:45:39Z,TypeScript,43641,199,0,0,182601
